feature,feature_value,mean_shap,std_shap
team_83,1,0.6700504,0.25451672
team_84,0,0.0026314708,0.00194876
team_84,1,-0.2899201,0.20556337
team_85,0,0.0,0.0
team_85,1,0.0,0.0
team_86,0,0.0022714185,0.0019785408
team_86,1,-0.2443388,0.19670294
team_87,0,0.0027362003,0.0015522275
team_87,1,-0.3249462,0.19558272
team_88,0,-0.0020716598,0.0023797587
team_88,1,0.19354934,0.18169726
team_89,0,0.0012209899,0.0007475879
team_89,1,-0.23973495,0.124834456
team_90,0,-0.0010020047,0.0005132057
team_90,1,0.31051663,0.12851848
team_91,0,0.005959331,0.0026425617
team_91,1,-0.56314987,0.25237316
team_92,0,0.004970499,0.0018181428
team_92,1,-0.4540955,0.17699365
team_93,0,0.007527474,0.0039450186
team_93,1,-0.46296403,0.25993562
team_94,0,-0.0036545258,0.00180351
team_94,1,0.4266831,0.269184
team_95,0,-0.00045010715,0.00036161693
team_95,1,0.53570694,0.2851683
team_96,0,0.0039010025,0.0017178616
team_96,1,-0.5708684,0.25377345
team_97,0,-0.0067005716,0.0025004598
team_97,1,0.55109036,0.18896806
team_98,0,-0.0027843846,0.001699733
team_98,1,0.6627646,0.2703724
team_99,0,-0.0037611006,0.004545717
team_99,1,0.22032815,0.24280272
team_100,0,0.0051746387,0.002748174
team_100,1,-0.3527787,0.23538011
team_101,0,-0.0047185775,0.003253393
team_101,1,0.48042727,0.32767326
team_102,0,-0.0026494025,0.00092646515
team_102,1,1.3416227,0.37258536
team_103,0,-0.0062266784,0.002832
team_103,1,0.5683008,0.30642396
team_104,0,-0.0055626077,0.003047168
team_104,1,0.67145723,0.26495448
team_105,0,0.0030873206,0.0018392283
team_105,1,-0.51583195,0.30007794
team_106,0,-0.00044771208,0.0019415107
team_106,1,-0.00017748773,0.3733914
team_107,0,2.4110608e-05,0.00074170914
team_107,1,-0.045126904,0.14656153
team_108,0,0.0038542007,0.0026023153
team_108,1,-0.57532865,0.37733552
team_109,0,-0.0005756476,0.0005817554
team_109,1,0.27262312,0.27451584
team_110,0,0.00037557838,0.0022920754
team_110,1,0.009443523,0.24396539
team_111,0,0.001359988,0.0013875319
team_111,1,-0.22414468,0.1847201
team_112,0,0.0007340783,0.0007808519
team_112,1,-0.0672216,0.080203794
team_113,0,-0.0023670935,0.0010100305
team_113,1,0.2626021,0.10070246
team_114,0,0.0035955396,0.0017853245
team_114,1,-0.4862437,0.2554593
team_115,0,-0.009320717,0.0026073814
team_115,1,0.84856653,0.2489118
team_116,0,-0.0059504393,0.004434554
team_116,1,0.44566983,0.23375836
team_117,0,0.0023851413,0.00097119296
team_117,1,-0.68874764,0.28686392
team_118,0,-0.005982054,0.002914979
team_118,1,0.6670601,0.34015518
team_119,0,4.440933e-06,0.0007188424
team_119,1,-0.011096453,0.07363136
