onset_scan_mask_number,severity_mask_number,mrs_mask_number,age_mask_number,infarction_mask_number,precise_mask_number,sleep_mask_number,anticoag_mask_number,Probabilities,Thrombolysis_real
0,0,0,0,1,1,0,1,"[0.19 0.63 0.42 0.81 0.35 0.09 0.12 0.88 0.71 0.78 0.47 0.03 0.17 0.39
 0.02 0.03 0.04 0.11 0.28 0.01 0.58 0.55 0.01 0.07 0.86 0.33 0.06 0.12
 0.23 0.27 0.3  0.02 0.8  0.79 0.56 0.75 0.28 0.86 0.51 0.01 0.46 0.85
 0.08 0.87 0.1  0.18 0.77 0.23 0.78 0.84 0.76 0.17 0.4  0.07 0.8  0.68
 0.7  0.71 0.19 0.15 0.33 0.18 0.11 0.75 0.02 0.22 0.03 0.02 0.01 0.7
 0.81 0.06 0.22 0.58 0.1  0.04 0.07 0.82 0.46 0.67 0.56 0.08 0.79 0.26
 0.76 0.08 0.14 0.05 0.12 0.78 0.79 0.06 0.04 0.91 0.03 0.22 0.02 0.01
 0.16 0.09 0.88 0.02 0.5  0.62 0.27 0.12 0.03 0.8  0.79 0.77 0.03 0.94
 0.95 0.67 0.04 0.01 0.55 0.02 0.03 0.08 0.17 0.71 0.09 0.44 0.74 0.5
 0.75 0.8  0.95 0.83 0.21 0.44 0.11 0.01 0.57 0.02 0.02 0.08 0.02 0.08
 0.05 0.09 0.02 0.32 0.37 0.01 0.63 0.7  0.96 0.08 0.1  0.38 0.46 0.57
 0.01 0.52 0.02 0.02 0.04 0.59 0.88 0.3  0.02 0.7  0.01 0.21 0.09 0.62
 0.85 0.34 0.24 0.52 0.21 0.29 0.25 0.04 0.76 0.27 0.19 0.1  0.7  0.12
 0.03 0.55 0.22 0.18 0.76 0.74 0.03 0.8  0.3  0.32 0.34 0.71 0.3  0.08
 0.28 0.87 0.17 0.45 0.18 0.04 0.02 0.   0.17 0.27 0.05 0.04 0.06 0.7
 0.8  0.12 0.02 0.1  0.08 0.79 0.11 0.19 0.82 0.19 0.01 0.29 0.03 0.01
 0.73 0.16 0.04 0.59 0.02 0.58 0.02 0.3  0.72 0.07 0.3  0.46 0.79 0.21
 0.63 0.03 0.03 0.08 0.41 0.84 0.19 0.11 0.05 0.47 0.69 0.57 0.01 0.08
 0.65 0.03 0.89 0.45 0.1  0.   0.06 0.22 0.31 0.19 0.62 0.42 0.7  0.79
 0.63 0.24 0.5  0.73 0.14 0.39 0.04 0.93 0.74 0.35 0.04 0.33 0.08 0.8
 0.78 0.82 0.59 0.93 0.55 0.82 0.45 0.12 0.3  0.75 0.56 0.35 0.06 0.25
 0.4  0.16 0.1  0.31 0.02 0.27 0.07 0.77 0.82 0.79 0.15 0.88 0.08 0.08
 0.29 0.16 0.74 0.09 0.14 0.04 0.68 0.27 0.02 0.6  0.85 0.19 0.7  0.27
 0.06 0.2  0.32 0.71 0.68 0.12 0.54 0.15 0.66 0.38 0.02 0.13 0.11 0.78
 0.02 0.76 0.77 0.36 0.26 0.13 0.46 0.1  0.86 0.01 0.12 0.45 0.03 0.08
 0.02 0.47 0.71 0.63 0.56 0.81 0.03 0.06 0.09 0.   0.32 0.87 0.04 0.06
 0.1  0.   0.03 0.39 0.32 0.77 0.02 0.54 0.44 0.26 0.47 0.14 0.31 0.77
 0.2  0.01 0.64 0.56 0.29 0.03 0.14 0.66 0.04 0.4  0.14 0.01 0.62 0.
 0.56 0.43 0.01 0.15 0.03 0.1  0.69 0.83 0.23 0.02 0.55 0.2  0.01 0.12
 0.59 0.26 0.62 0.8  0.85 0.07 0.89 0.62 0.07 0.37 0.01 0.2  0.04 0.64
 0.73 0.48 0.75 0.76 0.18 0.06 0.74 0.05 0.73 0.36 0.46 0.03 0.34 0.93
 0.04 0.05 0.03 0.78 0.67 0.66 0.6  0.44 0.12 0.04 0.42 0.19 0.01 0.05
 0.3  0.05 0.33 0.58 0.16 0.72 0.82 0.02 0.85 0.78 0.17 0.71 0.03 0.05
 0.72 0.59 0.02 0.18 0.   0.16 0.21 0.28 0.06 0.69 0.18 0.13 0.33 0.36
 0.56 0.14 0.22 0.58 0.71 0.02 0.04 0.26 0.1  0.89 0.66 0.31 0.53 0.57
 0.02 0.09 0.28 0.37 0.2  0.17 0.85 0.07 0.01 0.89 0.24 0.04 0.82 0.23
 0.48 0.44 0.69 0.77 0.06 0.02 0.32 0.87 0.23 0.04 0.06 0.03 0.88 0.08
 0.79 0.02 0.08 0.12 0.12 0.02 0.67 0.11 0.08 0.06 0.49 0.09 0.76 0.29
 0.02 0.43 0.21 0.6  0.05 0.   0.85 0.66 0.64 0.68 0.03 0.76 0.15 0.8
 0.21 0.07 0.15 0.15 0.29 0.89 0.01 0.11 0.07 0.66 0.05 0.73 0.05 0.04
 0.04 0.74 0.76 0.76 0.06 0.08 0.61 0.26 0.1  0.29 0.03 0.45 0.65 0.03
 0.68 0.63 0.11 0.81 0.25 0.1  0.08 0.39 0.19 0.36 0.4  0.33 0.51 0.5
 0.16 0.09 0.31 0.69 0.03 0.1  0.83 0.71 0.02 0.88 0.19 0.37 0.94 0.53
 0.15 0.05 0.89 0.11 0.08 0.26 0.11 0.02 0.71 0.55 0.01 0.37 0.61 0.11
 0.51 0.19 0.66 0.72 0.01 0.01 0.81 0.47 0.86 0.68 0.66 0.26 0.9  0.25
 0.88 0.04 0.05 0.67 0.69 0.   0.66 0.86 0.54 0.08 0.06 0.04 0.46 0.03
 0.01 0.9  0.14 0.43 0.03 0.49 0.12 0.49 0.43 0.15 0.48 0.08 0.05 0.04
 0.05 0.29 0.02 0.32 0.09 0.08 0.75 0.14 0.89 0.68 0.07 0.13 0.63 0.44
 0.87 0.07 0.8  0.17 0.01]","[0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0
 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 1
 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0
 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0
 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0
 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
 0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0
 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 0 0 1 0 0
 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1
 0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1
 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0
 1 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1
 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0
 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0
 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1
 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1
 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 1 1 0 1 0 1 0 0 1 1 0]"
0,0,0,0,1,1,1,0,[],[]
0,0,0,0,1,1,1,1,[],[]
0,0,0,1,0,0,0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,0,1,0,0,0,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,0,1,0,0,1,0,[0. 0.],[0 0]
0,0,0,1,0,0,1,1,[0. 0. 0. 0.],[0 0 0 0]
0,0,0,1,0,1,0,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,0,1,0,1,0,1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
0,0,0,1,0,1,1,0,[],[]
